epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,27.6592,0.95578,4.26128,0.1954,0.69408,1.2026,0.99625,1,0.995,0.76852,0.72223,0.72727,0.70045,0.35931,0.7773,3.1598,0.04938,0.59314,1.07954,0.0009704,0.0009704,0.0009704
28,28.6712,0.8776,3.361,0.145,0.63876,1.16041,0.99554,1,0.995,0.80848,0.81285,0.81818,0.78864,0.33384,0.72133,3.29475,0.0382,0.56678,1.04534,0.0009308,0.0009308,0.0009308
29,29.6274,0.85714,3.76248,0.20019,0.65203,1.13985,0.99392,1,0.995,0.80915,0.81216,0.81818,0.78227,0.30754,0.71095,3.2671,0.03411,0.55222,1.04228,0.0008912,0.0008912,0.0008912
30,30.6145,0.82845,3.41397,0.23872,0.6854,1.11856,0.99449,1,0.995,0.81757,0.81333,0.81818,0.75305,0.31396,0.67273,3.0809,0.03239,0.54041,1.03208,0.0008516,0.0008516,0.0008516
31,31.5916,0.79529,3.57163,0.18676,0.61239,1.08168,0.99417,1,0.995,0.83007,0.81331,0.81818,0.76864,0.35011,0.71328,3.10951,0.03847,0.49689,1.05,0.000812,0.000812,0.000812
32,32.5609,0.75768,3.38274,0.16718,0.57965,1.07438,0.99412,1,0.995,0.83132,0.89927,0.81818,0.797,0.41193,0.72682,2.86589,0.04536,0.4938,1.08066,0.0007724,0.0007724,0.0007724
33,33.5637,0.72219,3.35363,0.16554,0.54454,0.98191,0.99446,1,0.995,0.80818,0.88693,0.81818,0.81895,0.42087,0.73657,2.74341,0.04248,0.53881,1.08077,0.0007328,0.0007328,0.0007328
34,34.5244,0.80651,3.37758,0.15622,0.57954,1.0685,0.99423,1,0.995,0.83166,0.8993,0.81247,0.806,0.4027,0.73105,2.76138,0.0331,0.53343,1.05136,0.0006932,0.0006932,0.0006932
35,35.4875,0.77112,3.18754,0.14464,0.55963,1.0594,0.99448,1,0.995,0.83665,0.89882,0.80854,0.81371,0.41378,0.66709,2.54671,0.04022,0.48539,1.00741,0.0006536,0.0006536,0.0006536
36,36.4811,0.75258,3.19094,0.14632,0.53365,1.03314,0.9947,1,0.995,0.84535,0.87319,0.81818,0.824,0.37332,0.66516,2.5683,0.04324,0.4899,1.0025,0.000614,0.000614,0.000614
37,37.4497,0.71832,3.01248,0.15329,0.56684,1.02867,0.99473,1,0.995,0.83856,0.81387,0.81818,0.85158,0.41045,0.6849,2.55793,0.03568,0.47662,1.01333,0.0005744,0.0005744,0.0005744
38,38.4126,0.79593,3.14685,0.15678,0.60211,1.03083,0.99355,1,0.995,0.78899,0.8128,0.81818,0.84149,0.41765,0.77949,2.74396,0.02768,0.54055,1.05966,0.0005348,0.0005348,0.0005348
39,39.377,0.7943,3.56141,0.18772,0.58252,1.09454,0.99321,1,0.995,0.81043,0.81237,0.81818,0.79864,0.42089,0.72726,2.57856,0.02943,0.5266,1.0479,0.0004952,0.0004952,0.0004952
40,40.3587,0.78393,3.16102,0.17279,0.60852,1.055,0.99298,1,0.995,0.87569,0.81184,0.81818,0.78864,0.4381,0.60018,2.73713,0.02827,0.49925,1.00119,0.0004556,0.0004556,0.0004556
41,47.0622,0.69614,2.55751,0.02965,0.58597,1.09804,0.99279,1,0.995,0.88958,0.81182,0.81818,0.78864,0.43476,0.56135,2.79954,0.02758,0.46358,0.99,0.000416,0.000416,0.000416
42,48.0153,0.62916,2.59867,0.02644,0.51974,1.0621,0.99221,1,0.995,0.87958,0.81115,0.81818,0.78864,0.45315,0.52395,2.66187,0.02766,0.42766,0.97978,0.0003764,0.0003764,0.0003764
43,48.9624,0.60352,2.46404,0.02616,0.48407,1.01014,0.99059,1,0.995,0.86834,0.81014,0.81818,0.78864,0.39184,0.536,2.78505,0.02822,0.44733,0.9765,0.0003368,0.0003368,0.0003368
44,49.9115,0.61824,2.33815,0.03236,0.47954,1.01824,0.99086,1,0.995,0.85941,0.89709,0.79435,0.788,0.39568,0.58353,2.64769,0.02631,0.46071,0.98172,0.0002972,0.0002972,0.0002972
45,50.8533,0.59068,2.37481,0.03563,0.46617,0.97883,0.99178,1,0.995,0.85115,0.89759,0.79846,0.788,0.4059,0.60246,2.58042,0.02648,0.46309,0.98643,0.0002576,0.0002576,0.0002576
46,51.7837,0.64303,2.60906,0.0238,0.47155,1.08868,0.99388,1,0.995,0.87195,0.89806,0.80233,0.788,0.41418,0.59199,2.48424,0.02516,0.44662,0.98759,0.000218,0.000218,0.000218
47,52.7441,0.60311,2.47116,0.02796,0.47682,1.01585,0.9941,1,0.995,0.86111,0.89823,0.80367,0.788,0.43652,0.55256,2.44941,0.02384,0.44139,0.97669,0.0001784,0.0001784,0.0001784
48,53.7011,0.55219,2.32814,0.0241,0.45579,0.99269,0.99427,1,0.995,0.85912,0.89865,0.80716,0.788,0.43604,0.5446,2.43435,0.02165,0.44389,0.9743,0.0001388,0.0001388,0.0001388
49,54.624,0.57782,2.25852,0.01948,0.44844,1.00696,0.99433,1,0.995,0.8667,0.90382,0.90909,0.87227,0.44447,0.54696,2.41893,0.02079,0.44141,0.97549,9.92e-05,9.92e-05,9.92e-05
50,55.5693,0.56209,2.20225,0.01933,0.4371,0.98462,0.99438,1,0.995,0.85912,0.90386,0.90909,0.87227,0.44447,0.55617,2.40208,0.01965,0.43359,0.97652,5.96e-05,5.96e-05,5.96e-05
